titulo,autor,duracion
Onyx Storm,De: Rebecca Yarros,Duración: 14 h y 15 m
The Path of Ascension 5,De: C. Mantis,Duración: 27 h y 35 m
Where's Molly,De: H. D. Carlton,Duración: 5 h y 58 m
See No Evil,De: David J. Gatward,Duración: 8 h y 24 m
Magic Slays (Dramatized Adaptation),De: Ilona Andrews,Duración: 10 h y 35 m
Honed in Havoc,De: Albany Walker,Duración: 6 h y 42 m
Raven: Part One,"De: Piper Scott, Virginia Kelly",Duración: 10 h y 12 m
Bridesmaid for Hire,De: Meghan Quinn,Duración: 13 h y 47 m
Galactic Heritage,De: Matt Coleman,Duración: 13 h y 31 m
Law,De: Neven Iliev,Duración: 10 h y 6 m
Bake Off,De: D.M. Guay,Duración: 55 m
Wild Love,De: Elsie Silver,Duración: 11 h y 26 m
Avenging Angel,De: Kristen Ashley,Duración: 11 h y 16 m
Hard Knocks,De: Nathan Lowell,Duración: 11 h y 35 m
Valdemar,De: Mercedes Lackey,Duración: 16 h y 58 m
Radley's Apocalypse for Horny Monsters,De: Annabelle Hawthorne,Duración: 25 h y 24 m
Wind and Truth,De: Brandon Sanderson,Duración: 55 h
The Butcher Game,De: Alaina Urquhart,Duración: Aún no se conoce
10 Great What-Ifs of American History,"De: Adam Jortner, The Great Courses",Duración: 3 h y 54 m
Infinite Jest,"De: David Foster Wallace, Dave Eggers",Duración: 64 h y 11 m
